cod_ibge,state,population
1100015,RO,25437
1100023,RO,107345
1100031,RO,6224
1100049,RO,88507
1100056,RO,17934
1100064,RO,18467
1100072,RO,8659
1100080,RO,17400
1100098,RO,33030
1100106,RO,47451
1100114,RO,55871
1100122,RO,132667
1100130,RO,38609
1100148,RO,21747
1100155,RO,39759
1100189,RO,38051
1100205,RO,519436
1100254,RO,22124
1100262,RO,3829
1100288,RO,57074
1100296,RO,8198
1100304,RO,95630
1100320,RO,24181
1100338,RO,28891
1100346,RO,16747
1100379,RO,14045
1100403,RO,20916
1100452,RO,39044
1100502,RO,10051
1100601,RO,6460
1100700,RO,14484
1100809,RO,25266
1100908,RO,3550
1100924,RO,10593
1100940,RO,22443
1101005,RO,9745
1101104,RO,10310
1101203,RO,10751
1101302,RO,12258
1101401,RO,16186
1101435,RO,7769
1101450,RO,5904
1101468,RO,2410
1101476,RO,3411
1101484,RO,5994
1101492,RO,19694
1101500,RO,12653
1101559,RO,4931
1101609,RO,11350
1101708,RO,13106
1101757,RO,11149
1101807,RO,8047
1200013,AC,14366
1200054,AC,6986
1200104,AC,24765
1200138,AC,9664
1200179,AC,11136
1200203,AC,82622
1200252,AC,17340
1200302,AC,32360
1200328,AC,7858
1200336,AC,17910
1200344,AC,8886
1200351,AC,17897
1200385,AC,18510
1200393,AC,11353
1200401,AC,383443
1200427,AC,17945
1200435,AC,6230
1200450,AC,21552
1200500,AC,43139
1200609,AC,40024
1200708,AC,18174
1200807,AC,17459
1300029,AM,15908
1300060,AM,11242
1300086,AM,12978
1300102,AM,20196
1300144,AM,21406
1300201,AM,19054
1300300,AM,38454
1300409,AM,27743
1300508,AM,31542
1300607,AM,41329
1300631,AM,18978
1300680,AM,18483
1300706,AM,34176
1300805,AM,40464
1300839,AM,12820
1300904,AM,15490
1301001,AM,28337
1301100,AM,37399
1301159,AM,29190
1301209,AM,84762
1301308,AM,27817
1301407,AM,34888
1301506,AM,19492
1301605,AM,19669
1301654,AM,16339
1301704,AM,53383
1301803,AM,28299
1301852,AM,47407
1301902,AM,99854
1301951,AM,8128
1302009,AM,9125
1302108,AM,4205
1302207,AM,13956
1302306,AM,15824
1302405,AM,44861
1302504,AM,96460
1302553,AM,30222
1302603,AM,2130264
1302702,AM,54708
1302801,AM,18531
1302900,AM,62212
1303007,AM,20902
1303106,AM,36431
1303205,AM,18586
1303304,AM,25112
1303403,AM,113832
1303502,AM,19597
1303536,AM,34574
1303569,AM,32001
1303601,AM,23765
1303700,AM,23075
1303809,AM,44553
1303908,AM,38047
1303957,AM,13421
1304005,AM,9211
1304062,AM,63635
1304104,AM,17930
1304203,AM,62021
1304237,AM,18782
1304260,AM,13428
1304302,AM,16968
1304401,AM,22148
1400027,RR,11560
1400050,RR,15933
1400100,RR,332020
1400159,RR,11945
1400175,RR,16877
1400209,RR,20807
1400233,RR,9493
1400282,RR,10859
1400308,RR,16852
1400407,RR,10527
1400456,RR,12375
1400472,RR,28215
1400506,RR,7740
1400605,RR,7597
1400704,RR,9836
1500107,PA,153380
1500131,PA,7231
1500206,PA,54096
1500305,PA,38144
1500347,PA,26682
1500404,PA,55246
1500503,PA,33195
1500602,PA,111435
1500701,PA,28466
1500800,PA,516057
1500859,PA,27096
1500909,PA,44734
1500958,PA,30471
1501006,PA,15947
1501105,PA,29808
1501204,PA,46110
1501253,PA,3200
1501303,PA,121190
1501402,PA,1452275
1501451,PA,17249
1501501,PA,60990
1501576,PA,16517
1501600,PA,15834
1501709,PA,124184
1501725,PA,14689
1501758,PA,7182
1501782,PA,64194
1501808,PA,99896
1501907,PA,28331
1501956,PA,32947
1502004,PA,23110
1502103,PA,134100
1502152,PA,36027
1502202,PA,67150
1502301,PA,52839
1502400,PA,195253
1502509,PA,23066
1502608,PA,11759
1502707,PA,46571
1502756,PA,32395
1502764,PA,13093
1502772,PA,17453
1502806,PA,33490
1502855,PA,13996
1502905,PA,38959
1502939,PA,58071
1502954,PA,32892
1503002,PA,7009
1503044,PA,19746
1503077,PA,25363
1503093,PA,39352
1503101,PA,32458
1503200,PA,37753
1503309,PA,60994
1503408,PA,11388
1503457,PA,62237
1503507,PA,31673
1503606,PA,98523
1503705,PA,51835
1503754,PA,8059
1503804,PA,57526
1503903,PA,56325
1504000,PA,28138
1504059,PA,29260
1504109,PA,8316
1504208,PA,271594
1504307,PA,28679
1504406,PA,27569
1504422,PA,127858
1504455,PA,30726
1504505,PA,26897
1504604,PA,30277
1504703,PA,79825
1504752,PA,15646
1504802,PA,56466
1504901,PA,39231
1504950,PA,20789
1504976,PA,16221
1505007,PA,14942
1505031,PA,25071
1505064,PA,73802
1505106,PA,50727
1505205,PA,31619
1505304,PA,71078
1505403,PA,17356
1505437,PA,31921
1505486,PA,46383
1505494,PA,7386
1505502,PA,110026
1505536,PA,202356
1505551,PA,5341
1505601,PA,7860
1505635,PA,12632
1505650,PA,30109
1505700,PA,30219
1505809,PA,60322
1505908,PA,39991
1506005,PA,29067
1506104,PA,10534
1506112,PA,13237
1506138,PA,82464
1506161,PA,17705
1506187,PA,50925
1506195,PA,49093
1506203,PA,39569
1506302,PA,23096
1506351,PA,20492
1506401,PA,9845
1506500,PA,68836
1506559,PA,19316
1506583,PA,20849
1506609,PA,24186
1506708,PA,70764
1506807,PA,296302
1506906,PA,6526
1507003,PA,30611
1507102,PA,17563
1507151,PA,24859
1507201,PA,31123
1507300,PA,124806
1507409,PA,15454
1507458,PA,24188
1507466,PA,5970
1507474,PA,22415
1507508,PA,13616
1507607,PA,57364
1507706,PA,25904
1507755,PA,5766
1507805,PA,11357
1507904,PA,24682
1507953,PA,103321
1507961,PA,11399
1507979,PA,18257
1508001,PA,61709
1508035,PA,30108
1508050,PA,18469
1508084,PA,38508
1508100,PA,110516
1508126,PA,57525
1508159,PA,44258
1508209,PA,52216
1508308,PA,59735
1508357,PA,14719
1508407,PA,43530
1600055,AP,5111
1600105,AP,8757
1600154,AP,15125
1600204,AP,10525
1600212,AP,5637
1600238,AP,7270
1600253,AP,5172
1600279,AP,47554
1600303,AP,474706
1600402,AP,20387
1600501,AP,25514
1600535,AP,20611
1600550,AP,4779
1600600,AP,115471
1600709,AP,16112
1600808,AP,14991
1700251,TO,2571
1700301,TO,6460
1700350,TO,5527
1700400,TO,7273
1700707,TO,8516
1701002,TO,9749
1701051,TO,3423
1701101,TO,4726
1701309,TO,5865
1701903,TO,7003
1702000,TO,8692
1702109,TO,175960
1702158,TO,5645
1702208,TO,35216
1702307,TO,6756
1702406,TO,10727
1702554,TO,18089
1702703,TO,3735
1702901,TO,9776
1703008,TO,10752
1703057,TO,3500
1703073,TO,4544
1703107,TO,5643
1703206,TO,4518
1703305,TO,4700
1703602,TO,2199
1703701,TO,5499
1703800,TO,11135
1703826,TO,2276
1703842,TO,9795
1703867,TO,4296
1703883,TO,2555
1703891,TO,4055
1703909,TO,5265
1704105,TO,2866
1704600,TO,1407
1705102,TO,3364
1705508,TO,34839
1705557,TO,4874
1705607,TO,4179
1706001,TO,5529
1706100,TO,7374
1706258,TO,1708
1706506,TO,5988
1707009,TO,21738
1707108,TO,6868
1707207,TO,7286
1707306,TO,4727
1707405,TO,10793
1707553,TO,3879
1707652,TO,5352
1707702,TO,8893
1708205,TO,18684
1708254,TO,2584
1708304,TO,5153
1709005,TO,12973
1709302,TO,25642
1709500,TO,85523
1709807,TO,1955
1710508,TO,7456
1710706,TO,5980
1710904,TO,3772
1711100,TO,2465
1711506,TO,3821
1711803,TO,2229
1711902,TO,12808
1711951,TO,4191
1712009,TO,3092
1712157,TO,1875
1712405,TO,3787
1712454,TO,3038
1712504,TO,5054
1712702,TO,2614
1712801,TO,3409
1713205,TO,19055
1713304,TO,13426
1713601,TO,7770
1713700,TO,2264
1713809,TO,6535
1713957,TO,3507
1714203,TO,9312
1714302,TO,4060
1714880,TO,11715
1715002,TO,4203
1715101,TO,4267
1715150,TO,2353
1715259,TO,2697
1715507,TO,1110
1715705,TO,5859
1715754,TO,7687
1716109,TO,50360
1716208,TO,10562
1716307,TO,4853
1716505,TO,13288
1716604,TO,11591
1716653,TO,5453
1716703,TO,8409
1717008,TO,4520
1717206,TO,3044
1717503,TO,7536
1717800,TO,4645
1717909,TO,7949
1718006,TO,3102
1718204,TO,52828
1718303,TO,8365
1718402,TO,3733
1718451,TO,2650
1718501,TO,4230
1718550,TO,4601
1718659,TO,2061
1718709,TO,2810
1718758,TO,6512
1718808,TO,4579
1718840,TO,3410
1718865,TO,7402
1718881,TO,3356
1718899,TO,2343
1718907,TO,4833
1719004,TO,2825
1720002,TO,2550
1720101,TO,5231
1720150,TO,1571
1720200,TO,11906
1720259,TO,3084
1720309,TO,4749
1720499,TO,4111
1720655,TO,5399
1720804,TO,9192
1720853,TO,1941
1720903,TO,16530
1720937,TO,2130
1720978,TO,2777
1721000,TO,286787
1721109,TO,7460
1721208,TO,23119
1721257,TO,1843
1721307,TO,2574
1722081,TO,11677
1722107,TO,11683
2100055,MA,111339
2100105,MA,6486
2100154,MA,12457
2100204,MA,21673
2100303,MA,26387
2100402,MA,8070
2100436,MA,26872
2100477,MA,31312
2100501,MA,11001
2100550,MA,6895
2100600,MA,41106
2100709,MA,27352
2100808,MA,15696
2100832,MA,18374
2100873,MA,15332
2100907,MA,46074
2100956,MA,32145
2101004,MA,29388
2101103,MA,11975
2101202,MA,103359
2101251,MA,17053
2101301,MA,17435
2101350,MA,5574
2101400,MA,94779
2101509,MA,18619
2101608,MA,87135
2101707,MA,62458
2101731,MA,7422
2101772,MA,11103
2101806,MA,5528
2101905,MA,20881
2101939,MA,5973
2101970,MA,9320
2102002,MA,41120
2102036,MA,34278
2102077,MA,16214
2102101,MA,36102
2102150,MA,8696
2102200,MA,28306
2102309,MA,23495
2102325,MA,71979
2102358,MA,15180
2102374,MA,8930
2102408,MA,11019
2102507,MA,19110
2102556,MA,14219
2102606,MA,19943
2102705,MA,21759
2102754,MA,10713
2102804,MA,23803
2102903,MA,23576
2103000,MA,162657
2103109,MA,10490
2103125,MA,8615
2103158,MA,13555
2103174,MA,21565
2103208,MA,78965
2103257,MA,14539
2103307,MA,120810
2103406,MA,48756
2103505,MA,40575
2103554,MA,16192
2103604,MA,64403
2103703,MA,30706
2103752,MA,12659
2103802,MA,22912
2103901,MA,11208
2104008,MA,16653
2104057,MA,42110
2104073,MA,8372
2104081,MA,10326
2104099,MA,18997
2104107,MA,12403
2104206,MA,15262
2104305,MA,11830
2104404,MA,17586
2104503,MA,10700
2104552,MA,18316
2104602,MA,16582
2104628,MA,7708
2104651,MA,9921
2104677,MA,24991
2104701,MA,6134
2104800,MA,69232
2104909,MA,11728
2105005,MA,28509
2105104,MA,26835
2105153,MA,14147
2105203,MA,11206
2105302,MA,254569
2105351,MA,16009
2105401,MA,67726
2105427,MA,25589
2105450,MA,10221
2105476,MA,16321
2105500,MA,23042
2105609,MA,15891
2105658,MA,3237
2105708,MA,49856
2105807,MA,10672
2105906,MA,16025
2105922,MA,11048
2105948,MA,8664
2105963,MA,11286
2105989,MA,7489
2106003,MA,11695
2106102,MA,12009
2106201,MA,6867
2106300,MA,19779
2106326,MA,21293
2106359,MA,7604
2106375,MA,16366
2106409,MA,16745
2106508,MA,23091
2106607,MA,33374
2106631,MA,16908
2106672,MA,8326
2106706,MA,20613
2106755,MA,28456
2106805,MA,14744
2106904,MA,33156
2107001,MA,8889
2107100,MA,19282
2107209,MA,14489
2107258,MA,5350
2107308,MA,4586
2107357,MA,20768
2107407,MA,19206
2107456,MA,14637
2107506,MA,122420
2107605,MA,19424
2107704,MA,21116
2107803,MA,34375
2107902,MA,18839
2108009,MA,19271
2108058,MA,15937
2108108,MA,20657
2108207,MA,38365
2108256,MA,25000
2108306,MA,38144
2108405,MA,14074
2108454,MA,23019
2108504,MA,32488
2108603,MA,82374
2108702,MA,20861
2108801,MA,18413
2108900,MA,17023
2109007,MA,23760
2109056,MA,5819
2109106,MA,47239
2109205,MA,12656
2109239,MA,6968
2109270,MA,18797
2109304,MA,11474
2109403,MA,15207
2109452,MA,30863
2109502,MA,19701
2109551,MA,7691
2109601,MA,42314
2109700,MA,5568
2109759,MA,7708
2109809,MA,41891
2109908,MA,88013
2110005,MA,71576
2110039,MA,24946
2110104,MA,25334
2110203,MA,37090
2110237,MA,13395
2110278,MA,15853
2110302,MA,14222
2110401,MA,18377
2110500,MA,46039
2110609,MA,28208
2110658,MA,7291
2110708,MA,33691
2110807,MA,4453
2110856,MA,11808
2110906,MA,11976
2111003,MA,20307
2111029,MA,15450
2111052,MA,10977
2111078,MA,18345
2111102,MA,25520
2111201,MA,176418
2111250,MA,7484
2111300,MA,1091868
2111409,MA,18247
2111508,MA,40992
2111532,MA,12511
2111573,MA,4601
2111607,MA,18680
2111631,MA,4946
2111672,MA,6704
2111706,MA,20913
2111722,MA,13949
2111748,MA,11042
2111763,MA,13877
2111789,MA,11040
2111805,MA,17851
2111904,MA,10416
2111953,MA,5571
2112001,MA,8455
2112100,MA,28635
2112209,MA,167619
2112233,MA,21749
2112274,MA,5746
2112308,MA,41342
2112407,MA,35063
2112456,MA,25533
2112506,MA,58605
2112605,MA,33038
2112704,MA,56511
2112803,MA,51738
2112852,MA,13480
2112902,MA,32267
2113009,MA,30879
2114007,MA,51084
2200053,PI,6966
2200103,PI,5062
2200202,PI,17119
2200251,PI,7526
2200277,PI,4838
2200301,PI,14070
2200400,PI,39864
2200459,PI,5326
2200509,PI,17322
2200608,PI,6684
2200707,PI,9705
2200806,PI,3114
2200905,PI,5748
2200954,PI,2511
2201002,PI,4656
2201051,PI,7717
2201101,PI,11503
2201150,PI,11375
2201176,PI,3889
2201200,PI,46291
2201309,PI,3294
2201408,PI,6925
2201507,PI,26421
2201556,PI,3947
2201572,PI,3503
2201606,PI,10037
2201705,PI,5413
2201739,PI,6106
2201770,PI,6663
2201804,PI,4428
2201903,PI,24711
2201919,PI,5535
2201929,PI,5577
2201945,PI,6300
2201960,PI,8192
2201988,PI,3823
2202000,PI,19464
2202026,PI,8108
2202059,PI,10406
2202075,PI,3497
2202083,PI,7510
2202091,PI,5684
2202109,PI,5522
2202117,PI,4957
2202133,PI,5842
2202174,PI,7154
2202208,PI,46082
2202251,PI,3892
2202307,PI,20831
2202406,PI,11229
2202455,PI,4033
2202505,PI,10729
2202539,PI,5769
2202554,PI,4982
2202604,PI,19410
2202653,PI,5330
2202703,PI,27338
2202711,PI,4812
2202729,PI,6054
2202737,PI,3953
2202752,PI,6372
2202778,PI,7536
2202802,PI,4726
2202851,PI,4608
2202901,PI,26205
2203008,PI,8154
2203107,PI,10253
2203206,PI,11190
2203230,PI,4871
2203255,PI,4367
2203271,PI,5251
2203305,PI,13595
2203354,PI,6896
2203404,PI,6790
2203420,PI,4287
2203453,PI,9404
2203503,PI,14383
2203602,PI,4834
2203701,PI,39078
2203750,PI,5220
2203800,PI,4393
2203859,PI,2518
2203909,PI,58969
2204006,PI,5264
2204105,PI,4288
2204154,PI,3128
2204204,PI,9154
2204303,PI,11432
2204352,PI,5352
2204402,PI,10522
2204501,PI,10335
2204550,PI,4489
2204600,PI,3816
2204659,PI,9268
2204709,PI,15065
2204808,PI,9649
2204907,PI,8428
2205003,PI,11343
2205102,PI,10845
2205151,PI,5656
2205201,PI,18782
2205250,PI,4430
2205276,PI,4786
2205300,PI,4384
2205359,PI,2961
2205409,PI,14123
2205458,PI,5350
2205508,PI,38550
2205516,PI,5391
2205524,PI,5534
2205532,PI,4683
2205540,PI,2796
2205557,PI,8395
2205565,PI,4582
2205573,PI,6646
2205581,PI,3996
2205599,PI,5087
2205607,PI,5217
2205706,PI,29792
2205805,PI,25082
2205854,PI,8170
2205904,PI,5266
2205953,PI,8342
2206001,PI,4478
2206050,PI,6338
2206100,PI,10759
2206209,PI,33209
2206308,PI,1228
2206357,PI,6511
2206407,PI,10409
2206506,PI,7621
2206605,PI,10448
2206654,PI,4066
2206670,PI,6684
2206696,PI,8997
2206704,PI,7231
2206720,PI,8425
2206753,PI,4786
2206803,PI,8547
2206902,PI,6466
2206951,PI,2940
2207009,PI,36432
2207108,PI,2417
2207207,PI,6758
2207306,PI,4065
2207355,PI,3333
2207405,PI,4967
2207504,PI,14295
2207553,PI,3886
2207603,PI,10613
2207702,PI,150547
2207751,PI,4500
2207777,PI,6288
2207793,PI,3975
2207801,PI,20192
2207850,PI,3623
2207900,PI,38127
2207934,PI,2495
2207959,PI,4302
2208007,PI,76928
2208106,PI,11935
2208205,PI,18125
2208304,PI,28312
2208403,PI,62733
2208502,PI,12358
2208551,PI,2664
2208601,PI,3103
2208650,PI,8842
2208700,PI,8634
2208809,PI,17698
2208858,PI,4246
2208874,PI,4403
2208908,PI,7214
2209005,PI,6331
2209104,PI,6140
2209153,PI,3952
2209203,PI,6156
2209302,PI,5761
2209351,PI,4559
2209377,PI,5175
2209401,PI,6305
2209450,PI,2125
2209500,PI,3731
2209559,PI,4377
2209609,PI,2901
2209658,PI,5657
2209708,PI,6324
2209757,PI,2988
2209807,PI,4931
2209856,PI,4534
2209872,PI,5938
2209906,PI,6050
2209955,PI,4762
2209971,PI,7847
2210003,PI,20258
2210052,PI,5260
2210102,PI,3689
2210201,PI,6602
2210300,PI,6261
2210359,PI,4501
2210375,PI,2602
2210383,PI,2413
2210391,PI,2991
2210409,PI,17395
2210508,PI,14056
2210607,PI,34109
2210623,PI,3421
2210631,PI,4224
2210656,PI,9880
2210706,PI,14398
2210805,PI,12488
2210904,PI,4500
2210938,PI,6612
2210953,PI,2870
2210979,PI,2719
2211001,PI,850198
2211100,PI,43761
2211209,PI,21188
2211308,PI,20588
2211357,PI,4873
2211407,PI,4325
2211506,PI,3029
2211605,PI,2931
2211704,PI,4390
2300101,CE,11605
2300150,CE,16543
2300200,CE,62199
2300309,CE,53572
2300408,CE,17194
2300507,CE,11459
2300606,CE,7479
2300705,CE,16976
2300754,CE,42901
2300804,CE,7278
2300903,CE,14719
2301000,CE,79128
2301109,CE,73629
2301208,CE,26269
2301257,CE,10823
2301307,CE,21398
2301406,CE,11244
2301505,CE,7777
2301604,CE,23254
2301703,CE,24496
2301802,CE,6228
2301851,CE,18027
2301901,CE,59811
2301950,CE,20978
2302008,CE,22440
2302057,CE,14880
2302107,CE,35351
2302206,CE,53110
2302305,CE,32378
2302404,CE,54049
2302503,CE,48830
2302602,CE,62985
2302701,CE,27209
2302800,CE,77514
2302909,CE,17668
2303006,CE,22320
2303105,CE,18660
2303204,CE,26892
2303303,CE,18804
2303402,CE,17631
2303501,CE,71079
2303600,CE,20451
2303659,CE,10365
2303709,CE,362223
2303808,CE,25063
2303907,CE,12952
2303931,CE,13384
2303956,CE,19197
2304004,CE,23107
2304103,CE,74426
2304202,CE,130604
2304236,CE,17874
2304251,CE,23983
2304269,CE,9521
2304277,CE,7163
2304285,CE,52667
2304301,CE,18720
2304350,CE,24047
2304400,CE,2627482
2304459,CE,16272
2304509,CE,13669
2304608,CE,6922
2304657,CE,15307
2304707,CE,54365
2304806,CE,4425
2304905,CE,11012
2304954,CE,26331
2305001,CE,39445
2305100,CE,3547
2305209,CE,20215
2305233,CE,65928
2305266,CE,13218
2305308,CE,24825
2305332,CE,12350
2305357,CE,19685
2305407,CE,67486
2305506,CE,102614
2305605,CE,25967
2305654,CE,11499
2305704,CE,12349
2305803,CE,41576
2305902,CE,37896
2306009,CE,14125
2306108,CE,23858
2306207,CE,7738
2306256,CE,39310
2306306,CE,51945
2306405,CE,127465
2306504,CE,20014
2306553,CE,41230
2306603,CE,20675
2306702,CE,17958
2306801,CE,11295
2306900,CE,34448
2307007,CE,33740
2307106,CE,27076
2307205,CE,7847
2307254,CE,19510
2307304,CE,270383
2307403,CE,24597
2307502,CE,31335
2307601,CE,58915
2307635,CE,19800
2307650,CE,224804
2307700,CE,126486
2307809,CE,26981
2307908,CE,11082
2308005,CE,38210
2308104,CE,46548
2308203,CE,14948
2308302,CE,28231
2308351,CE,13136
2308377,CE,13583
2308401,CE,35409
2308500,CE,43735
2308609,CE,17038
2308708,CE,61548
2308807,CE,8636
2308906,CE,22222
2309003,CE,14377
2309102,CE,12831
2309201,CE,15433
2309300,CE,32035
2309409,CE,28353
2309458,CE,25394
2309508,CE,21292
2309607,CE,70911
2309706,CE,82824
2309805,CE,11960
2309904,CE,6202
2310001,CE,9285
2310100,CE,13145
2310209,CE,33894
2310258,CE,32515
2310308,CE,31137
2310407,CE,11578
2310506,CE,42841
2310605,CE,8956
2310704,CE,37077
2310803,CE,16163
2310852,CE,20644
2310902,CE,16731
2310951,CE,10784
2311009,CE,12243
2311108,CE,14921
2311207,CE,10918
2311231,CE,6356
2311264,CE,20860
2311306,CE,86605
2311355,CE,14860
2311405,CE,78658
2311504,CE,21876
2311603,CE,27441
2311702,CE,18769
2311801,CE,76475
2311900,CE,15678
2311959,CE,16331
2312007,CE,32023
2312106,CE,17489
2312205,CE,43360
2312304,CE,46648
2312403,CE,48265
2312502,CE,7621
2312601,CE,12849
2312700,CE,26447
2312809,CE,7513
2312908,CE,205529
2313005,CE,18158
2313104,CE,30489
2313203,CE,25525
2313252,CE,8852
2313302,CE,58119
2313351,CE,18902
2313401,CE,74719
2313500,CE,55207
2313559,CE,15935
2313609,CE,34332
2313708,CE,7671
2313757,CE,19679
2313807,CE,21609
2313906,CE,13677
2313955,CE,18239
2314003,CE,40440
2314102,CE,60030
2400109,RN,11333
2400208,RN,58183
2400307,RN,11211
2400406,RN,3260
2400505,RN,13827
2400604,RN,4854
2400703,RN,14365
2400802,RN,11909
2400901,RN,7237
2401008,RN,36323
2401107,RN,27401
2401206,RN,14307
2401305,RN,9768
2401404,RN,9309
2401453,RN,28085
2401503,RN,4064
2401602,RN,5527
2401651,RN,2307
2401701,RN,10254
2401800,RN,12720
2401859,RN,6624
2401909,RN,3680
2402006,RN,68222
2402105,RN,11244
2402204,RN,34267
2402303,RN,20707
2402402,RN,8188
2402501,RN,10715
2402600,RN,73849
2402709,RN,11344
2402808,RN,5593
2402907,RN,4980
