city,country,date,ibgeID,newCases,state,totalCases
São Paulo/SP,Brazil,2020-02-25,3550308,1.0,SP,1
São Paulo/SP,Brazil,2020-02-29,3550308,1.0,SP,2
São Paulo/SP,Brazil,2020-03-04,3550308,1.0,SP,3
São Paulo/SP,Brazil,2020-03-05,3550308,3.0,SP,6
Barra Mansa/RJ,Brazil,2020-03-05,3300407,1.0,RJ,1
Vila Velha/ES,Brazil,2020-03-05,3205200,1.0,ES,1
São Paulo/SP,Brazil,2020-03-06,3550308,4.0,SP,10
Feira de Santana/BA,Brazil,2020-03-06,2910800,1.0,BA,1
Barra Mansa/RJ,Brazil,2020-03-06,3300407,0.0,RJ,1
Vila Velha/ES,Brazil,2020-03-06,3205200,0.0,ES,1
Vila Velha/ES,Brazil,2020-03-07,3205200,0.0,ES,1
Brasília/DF,Brazil,2020-03-07,5300108,1.0,DF,1
Barra Mansa/RJ,Brazil,2020-03-07,3300407,0.0,RJ,1
Feira de Santana/BA,Brazil,2020-03-07,2910800,1.0,BA,2
São Paulo/SP,Brazil,2020-03-07,3550308,3.0,SP,13
Rio de Janeiro/RJ,Brazil,2020-03-07,3304557,1.0,RJ,1
São Paulo/SP,Brazil,2020-03-08,3550308,2.0,SP,15
Rio de Janeiro/RJ,Brazil,2020-03-08,3304557,1.0,RJ,2
Maceió/AL,Brazil,2020-03-08,2704302,1.0,AL,1
Santana de Parnaíba/SP,Brazil,2020-03-08,3547304,1.0,SP,1
Barra Mansa/RJ,Brazil,2020-03-08,3300407,0.0,RJ,1
Vila Velha/ES,Brazil,2020-03-08,3205200,0.0,ES,1
Feira de Santana/BA,Brazil,2020-03-08,2910800,0.0,BA,2
Brasília/DF,Brazil,2020-03-08,5300108,0.0,DF,1
Feira de Santana/BA,Brazil,2020-03-09,2910800,0.0,BA,2
Divinópolis/MG,Brazil,2020-03-09,3122306,0.0,MG,1
Maceió/AL,Brazil,2020-03-09,2704302,0.0,AL,1
Brasília/DF,Brazil,2020-03-09,5300108,0.0,DF,1
Vila Velha/ES,Brazil,2020-03-09,3205200,0.0,ES,1
Santana de Parnaíba/SP,Brazil,2020-03-09,3547304,0.0,SP,1
São Paulo/SP,Brazil,2020-03-09,3550308,0.0,SP,15
Niterói/RJ,Brazil,2020-03-09,3303302,1.0,RJ,1
Rio de Janeiro/RJ,Brazil,2020-03-09,3304557,4.0,RJ,6
Barra Mansa/RJ,Brazil,2020-03-09,3300407,0.0,RJ,1
Niterói/RJ,Brazil,2020-03-10,3303302,0.0,RJ,1
Divinópolis/MG,Brazil,2020-03-10,3122306,0.0,MG,1
Santana de Parnaíba/SP,Brazil,2020-03-10,3547304,0.0,SP,1
Maceió/AL,Brazil,2020-03-10,2704302,0.0,AL,1
Rio de Janeiro/RJ,Brazil,2020-03-10,3304557,0.0,RJ,6
Feira de Santana/BA,Brazil,2020-03-10,2910800,0.0,BA,2
Barra Mansa/RJ,Brazil,2020-03-10,3300407,0.0,RJ,1
Campo Bom/RS,Brazil,2020-03-10,4303905,1.0,RS,1
Brasília/DF,Brazil,2020-03-10,5300108,1.0,DF,2
São Paulo/SP,Brazil,2020-03-10,3550308,3.0,SP,18
Vila Velha/ES,Brazil,2020-03-10,3205200,0.0,ES,1
Maceió/AL,Brazil,2020-03-11,2704302,0.0,AL,1
Niterói/RJ,Brazil,2020-03-11,3303302,0.0,RJ,1
Divinópolis/MG,Brazil,2020-03-11,3122306,0.0,MG,1
Santana de Parnaíba/SP,Brazil,2020-03-11,3547304,0.0,SP,1
Campo Bom/RS,Brazil,2020-03-11,4303905,0.0,RS,1
Brasília/DF,Brazil,2020-03-11,5300108,0.0,DF,2
Rio de Janeiro/RJ,Brazil,2020-03-11,3304557,6.0,RJ,12
Barra Mansa/RJ,Brazil,2020-03-11,3300407,0.0,RJ,1
Porto Alegre/RS,Brazil,2020-03-11,4314902,1.0,RS,1
Feira de Santana/BA,Brazil,2020-03-11,2910800,1.0,BA,3
São Paulo/SP,Brazil,2020-03-11,3550308,26.0,SP,44
Vila Velha/ES,Brazil,2020-03-11,3205200,0.0,ES,1
Campo Bom/RS,Brazil,2020-03-12,4303905,0.0,RS,1
Rio Verde/GO,Brazil,2020-03-12,5218805,1.0,GO,1
Niterói/RJ,Brazil,2020-03-12,3303302,0.0,RJ,1
Divinópolis/MG,Brazil,2020-03-12,3122306,0.0,MG,1
Santana de Parnaíba/SP,Brazil,2020-03-12,3547304,0.0,SP,1
Maceió/AL,Brazil,2020-03-12,2704302,0.0,AL,1
Feira de Santana/BA,Brazil,2020-03-12,2910800,0.0,BA,3
Barra Mansa/RJ,Brazil,2020-03-12,3300407,0.0,RJ,1
Natal/RN,Brazil,2020-03-12,2408102,1.0,RN,1
Goiânia/GO,Brazil,2020-03-12,5208707,2.0,GO,2
Ipatinga/MG,Brazil,2020-03-12,3131307,1.0,MG,1
Vila Velha/ES,Brazil,2020-03-12,3205200,1.0,ES,2
Ferraz de Vasconcelos/SP,Brazil,2020-03-12,3515707,1.0,SP,1
Cianorte/PR,Brazil,2020-03-12,4105508,1.0,PR,1
Curitiba/PR,Brazil,2020-03-12,4106902,5.0,PR,5
Caxias do Sul/RS,Brazil,2020-03-12,4305108,1.0,RS,1
Porto Alegre/RS,Brazil,2020-03-12,4314902,1.0,RS,2
Brasília/DF,Brazil,2020-03-12,5300108,1.0,DF,3
Rio de Janeiro/RJ,Brazil,2020-03-12,3304557,2.0,RJ,14
Florianópolis/SC,Brazil,2020-03-12,4205407,2.0,SC,2
São Paulo/SP,Brazil,2020-03-12,3550308,18.0,SP,62
Niterói/RJ,Brazil,2020-03-13,3303302,0.0,RJ,1
Recife/PE,Brazil,2020-03-13,2611606,0.0,PE,2
Caxias do Sul/RS,Brazil,2020-03-13,4305108,0.0,RS,1
Curitiba/PR,Brazil,2020-03-13,4106902,0.0,PR,5
Cianorte/PR,Brazil,2020-03-13,4105508,0.0,PR,1
Rio Verde/GO,Brazil,2020-03-13,5218805,0.0,GO,1
Florianópolis/SC,Brazil,2020-03-13,4205407,0.0,SC,2
Ipatinga/MG,Brazil,2020-03-13,3131307,0.0,MG,1
Divinópolis/MG,Brazil,2020-03-13,3122306,0.0,MG,1
Goiânia/GO,Brazil,2020-03-13,5208707,0.0,GO,2
Natal/RN,Brazil,2020-03-13,2408102,0.0,RN,1
Ferraz de Vasconcelos/SP,Brazil,2020-03-13,3515707,0.0,SP,1
Santana de Parnaíba/SP,Brazil,2020-03-13,3547304,0.0,SP,1
Campo Bom/RS,Brazil,2020-03-13,4303905,0.0,RS,1
Brasília/DF,Brazil,2020-03-13,5300108,0.0,DF,3
Maceió/AL,Brazil,2020-03-13,2704302,0.0,AL,1
Feira de Santana/BA,Brazil,2020-03-13,2910800,1.0,BA,4
Porto Alegre/RS,Brazil,2020-03-13,4314902,2.0,RS,4
Salvador/BA,Brazil,2020-03-13,2927408,3.0,BA,3
Rio de Janeiro/RJ,Brazil,2020-03-13,3304557,3.0,RJ,17
Joinville/SC,Brazil,2020-03-13,4209102,1.0,SC,1
São Paulo/SP,Brazil,2020-03-13,3550308,0.0,SP,62
Barra Mansa/RJ,Brazil,2020-03-13,3300407,0.0,RJ,1
Vila Velha/ES,Brazil,2020-03-13,3205200,0.0,ES,2
Manaus/AM,Brazil,2020-03-13,1302603,1.0,AM,1
Curitiba/PR,Brazil,2020-03-14,4106902,0.0,PR,5
Santana de Parnaíba/SP,Brazil,2020-03-14,3547304,0.0,SP,1
Divinópolis/MG,Brazil,2020-03-14,3122306,0.0,MG,1
Niterói/RJ,Brazil,2020-03-14,3303302,0.0,RJ,1
Campo Bom/RS,Brazil,2020-03-14,4303905,0.0,RS,1
Caxias do Sul/RS,Brazil,2020-03-14,4305108,0.0,RS,1
Cianorte/PR,Brazil,2020-03-14,4105508,0.0,PR,1
Salvador/BA,Brazil,2020-03-14,2927408,0.0,BA,3
Florianópolis/SC,Brazil,2020-03-14,4205407,0.0,SC,2
Ipatinga/MG,Brazil,2020-03-14,3131307,0.0,MG,1
Rio Verde/GO,Brazil,2020-03-14,5218805,0.0,GO,1
Natal/RN,Brazil,2020-03-14,2408102,0.0,RN,1
Manaus/AM,Brazil,2020-03-14,1302603,0.0,AM,1
Feira de Santana/BA,Brazil,2020-03-14,2910800,0.0,BA,4
ESTRANGEIRO/PE,Brazil,2020-03-14,260,1.0,PE,1
Ferraz de Vasconcelos/SP,Brazil,2020-03-14,3515707,0.0,SP,1
Vila Velha/ES,Brazil,2020-03-14,3205200,0.0,ES,2
Maceió/AL,Brazil,2020-03-14,2704302,0.0,AL,1
São Paulo/SP,Brazil,2020-03-14,3550308,0.0,SP,62
Rio de Janeiro/RJ,Brazil,2020-03-14,3304557,5.0,RJ,22
Brasília/DF,Brazil,2020-03-14,5300108,5.0,DF,8
Porto Alegre/RS,Brazil,2020-03-14,4314902,1.0,RS,5
Recife/PE,Brazil,2020-03-14,2611606,4.0,PE,6
Rancho Queimado/SC,Brazil,2020-03-14,4214300,2.0,SC,2
ESTRANGEIRO/PE,Brazil,2020-03-14,260,1.0,PE,1
Campo Grande/MS,Brazil,2020-03-14,5002704,2.0,MS,2
Goiânia/GO,Brazil,2020-03-14,5208707,1.0,GO,3
Patrocínio/MG,Brazil,2020-03-14,3148103,1.0,MG,1
Aracaju/SE,Brazil,2020-03-14,2800308,1.0,SE,1
Linhares/ES,Brazil,2020-03-14,3203205,1.0,ES,1
Vitória/ES,Brazil,2020-03-14,3205309,1.0,ES,1
Barra Mansa/RJ,Brazil,2020-03-14,3300407,0.0,RJ,1
Carapicuíba/SP,Brazil,2020-03-14,3510609,1.0,SP,1
Juiz de Fora/MG,Brazil,2020-03-14,3136702,1.0,MG,1
Natal/RN,Brazil,2020-03-15,2408102,0.0,RN,1
Curitiba/PR,Brazil,2020-03-15,4106902,0.0,PR,5
Ferraz de Vasconcelos/SP,Brazil,2020-03-15,3515707,0.0,SP,1
Florianópolis/SC,Brazil,2020-03-15,4205407,0.0,SC,2
Ipatinga/MG,Brazil,2020-03-15,3131307,0.0,MG,1
Rio Verde/GO,Brazil,2020-03-15,5218805,0.0,GO,1
Goiânia/GO,Brazil,2020-03-15,5208707,0.0,GO,3
Manaus/AM,Brazil,2020-03-15,1302603,0.0,AM,1
Vitória/ES,Brazil,2020-03-15,3205309,0.0,ES,1
Rancho Queimado/SC,Brazil,2020-03-15,4214300,0.0,SC,2
ESTRANGEIRO/PE,Brazil,2020-03-15,260,0.0,PE,1
Campo Grande/MS,Brazil,2020-03-15,5002704,0.0,MS,2
Juiz de Fora/MG,Brazil,2020-03-15,3136702,0.0,MG,1
Aracaju/SE,Brazil,2020-03-15,2800308,0.0,SE,1
Linhares/ES,Brazil,2020-03-15,3203205,0.0,ES,1
Caxias do Sul/RS,Brazil,2020-03-15,4305108,0.0,RS,1
Carapicuíba/SP,Brazil,2020-03-15,3510609,0.0,SP,1
Joinville/SC,Brazil,2020-03-15,4209102,0.0,SC,1
Porto Alegre/RS,Brazil,2020-03-15,4314902,0.0,RS,5
Cianorte/PR,Brazil,2020-03-15,4105508,0.0,PR,1
Niterói/RJ,Brazil,2020-03-15,3303302,0.0,RJ,1
ESTRANGEIRO/PE,Brazil,2020-03-15,260,0.0,PE,1
São Paulo/SP,Brazil,2020-03-15,3550308,69.0,SP,131
Feira de Santana/BA,Brazil,2020-03-15,2910800,1.0,BA,5
Salvador/BA,Brazil,2020-03-15,2927408,1.0,BA,4
Braço do Norte/SC,Brazil,2020-03-15,4202800,1.0,SC,1
São Bernardo do Campo/SP,Brazil,2020-03-15,3548708,1.0,SP,1
São Caetano do Sul/SP,Brazil,2020-03-15,3548807,1.0,SP,1
Recife/PE,Brazil,2020-03-15,2611606,1.0,PE,7
Barra Mansa/RJ,Brazil,2020-03-15,3300407,0.0,RJ,1
Vila Velha/ES,Brazil,2020-03-15,3205200,0.0,ES,2
Rio de Janeiro/RJ,Brazil,2020-03-15,3304557,0.0,RJ,22
Maceió/AL,Brazil,2020-03-15,2704302,0.0,AL,1
Santana de Parnaíba/SP,Brazil,2020-03-15,3547304,0.0,SP,1
Fortaleza/CE,Brazil,2020-03-15,2304400,3.0,CE,3
Divinópolis/MG,Brazil,2020-03-15,3122306,0.0,MG,1
Campo Bom/RS,Brazil,2020-03-16,4303905,0.0,RS,1
Niterói/RJ,Brazil,2020-03-16,3303302,0.0,RJ,1
Divinópolis/MG,Brazil,2020-03-16,3122306,0.0,MG,1
Santana de Parnaíba/SP,Brazil,2020-03-16,3547304,0.0,SP,1
Belo Jardim/PE,Brazil,2020-03-16,2601706,1.0,PE,1
Feira de Santana/BA,Brazil,2020-03-16,2910800,0.0,BA,5
Barra Mansa/RJ,Brazil,2020-03-16,3300407,0.0,RJ,1
Jaboatão dos Guararapes/PE,Brazil,2020-03-16,2607901,1.0,PE,1
Cianorte/PR,Brazil,2020-03-16,4105508,0.0,PR,1
Maceió/AL,Brazil,2020-03-16,2704302,0.0,AL,1
Ferraz de Vasconcelos/SP,Brazil,2020-03-16,3515707,0.0,SP,1
Patrocínio/MG,Brazil,2020-03-16,3148103,0.0,MG,1
São Caetano do Sul/SP,Brazil,2020-03-16,3548807,0.0,SP,1
Natal/RN,Brazil,2020-03-16,2408102,0.0,RN,1
Salvador/BA,Brazil,2020-03-16,2927408,0.0,BA,4
Manaus/AM,Brazil,2020-03-16,1302603,0.0,AM,1
Joinville/SC,Brazil,2020-03-16,4209102,0.0,SC,1
Rancho Queimado/SC,Brazil,2020-03-16,4214300,0.0,SC,2
Vitória/ES,Brazil,2020-03-16,3205309,0.0,ES,1
Braço do Norte/SC,Brazil,2020-03-16,4202800,0.0,SC,1
Linhares/ES,Brazil,2020-03-16,3203205,0.0,ES,1
Carapicuíba/SP,Brazil,2020-03-16,3510609,0.0,SP,1
Porto Seguro/BA,Brazil,2020-03-16,2925303,1.0,BA,1
Ipatinga/MG,Brazil,2020-03-16,3131307,0.0,MG,1
Anápolis/GO,Brazil,2020-03-16,5201108,2.0,GO,2
Caxias do Sul/RS,Brazil,2020-03-16,4305108,1.0,RS,2
Aquiraz/CE,Brazil,2020-03-16,2301000,1.0,CE,1
Belo Horizonte/MG,Brazil,2020-03-16,3106200,1.0,MG,1
ESTRANGEIRO/PE,Brazil,2020-03-16,260,2.0,PE,3
São Paulo/SP,Brazil,2020-03-16,3550308,14.0,SP,145
Vila Velha/ES,Brazil,2020-03-16,3205200,4.0,ES,6
Brasília/DF,Brazil,2020-03-16,5300108,5.0,DF,19
Recife/PE,Brazil,2020-03-16,2611606,6.0,PE,13
Curitiba/PR,Brazil,2020-03-16,4106902,2.0,PR,7
Florianópolis/SC,Brazil,2020-03-16,4205407,1.0,SC,3
Rio Verde/GO,Brazil,2020-03-16,5218805,1.0,GO,2
Rio de Janeiro/RJ,Brazil,2020-03-16,3304557,7.0,RJ,29
ESTRANGEIRO/PE,Brazil,2020-03-16,260,2.0,PE,3
Campo Grande/MS,Brazil,2020-03-16,5002704,2.0,MS,4
Juiz de Fora/MG,Brazil,2020-03-16,3136702,1.0,MG,2
Aracaju/SE,Brazil,2020-03-16,2800308,4.0,SE,5
São Bernardo do Campo/SP,Brazil,2020-03-16,3548708,1.0,SP,2
Fortaleza/CE,Brazil,2020-03-16,2304400,5.0,CE,8
Goiânia/GO,Brazil,2020-03-16,5208707,2.0,GO,5
Coronel Fabriciano/MG,Brazil,2020-03-16,3119401,1.0,MG,1
Mauá/SP,Brazil,2020-03-16,3529401,1.0,SP,1
Joinville/SC,Brazil,2020-03-17,4209102,0.0,SC,1
Natal/RN,Brazil,2020-03-17,2408102,0.0,RN,1
Goiânia/GO,Brazil,2020-03-17,5208707,0.0,GO,5
Ipatinga/MG,Brazil,2020-03-17,3131307,0.0,MG,1
Florianópolis/SC,Brazil,2020-03-17,4205407,0.0,SC,3
Caxias do Sul/RS,Brazil,2020-03-17,4305108,0.0,RS,2
Curitiba/PR,Brazil,2020-03-17,4106902,0.0,PR,7
Divinópolis/MG,Brazil,2020-03-17,3122306,0.0,MG,1
Santana de Parnaíba/SP,Brazil,2020-03-17,3547304,0.0,SP,1
ESTRANGEIRO/PE,Brazil,2020-03-17,260,0.0,PE,3
Maceió/AL,Brazil,2020-03-17,2704302,0.0,AL,1
Ferraz de Vasconcelos/SP,Brazil,2020-03-17,3515707,0.0,SP,1
Patrocínio/MG,Brazil,2020-03-17,3148103,0.0,MG,1
Feira de Santana/BA,Brazil,2020-03-17,2910800,0.0,BA,5
Linhares/ES,Brazil,2020-03-17,3203205,0.0,ES,1
Vitória/ES,Brazil,2020-03-17,3205309,0.0,ES,1
Carapicuíba/SP,Brazil,2020-03-17,3510609,0.0,SP,1
Braço do Norte/SC,Brazil,2020-03-17,4202800,0.0,SC,1
São Bernardo do Campo/SP,Brazil,2020-03-17,3548708,0.0,SP,2
São Caetano do Sul/SP,Brazil,2020-03-17,3548807,0.0,SP,1
Coronel Fabriciano/MG,Brazil,2020-03-17,3119401,0.0,MG,1
Mauá/SP,Brazil,2020-03-17,3529401,0.0,SP,1
Jaboatão dos Guararapes/PE,Brazil,2020-03-17,2607901,0.0,PE,1
Belo Jardim/PE,Brazil,2020-03-17,2601706,0.0,PE,1
Anápolis/GO,Brazil,2020-03-17,5201108,0.0,GO,2
Aquiraz/CE,Brazil,2020-03-17,2301000,0.0,CE,1
Aracaju/SE,Brazil,2020-03-17,2800308,0.0,SE,5
Vila Velha/ES,Brazil,2020-03-17,3205200,0.0,ES,6
Campo Bom/RS,Brazil,2020-03-17,4303905,0.0,RS,1
Londrina/PR,Brazil,2020-03-17,4113700,1.0,PR,1
ESTRANGEIRO/PE,Brazil,2020-03-17,260,0.0,PE,3
São Paulo/SP,Brazil,2020-03-17,3550308,11.0,SP,156
Rio de Janeiro/RJ,Brazil,2020-03-17,3304557,3.0,RJ,32
Brasília/DF,Brazil,2020-03-17,5300108,7.0,DF,26
Niterói/RJ,Brazil,2020-03-17,3303302,5.0,RJ,6
Recife/PE,Brazil,2020-03-17,2611606,1.0,PE,14
Cianorte/PR,Brazil,2020-03-17,4105508,1.0,PR,2
Rio Verde/GO,Brazil,2020-03-17,5218805,1.0,GO,3
Salvador/BA,Brazil,2020-03-17,2927408,3.0,BA,7
Manaus/AM,Brazil,2020-03-17,1302603,1.0,AM,2
Campo Grande/MS,Brazil,2020-03-17,5002704,2.0,MS,6
Porto Alegre/RS,Brazil,2020-03-17,4314902,8.0,RS,16
Sete Lagoas/MG,Brazil,2020-03-17,3167202,1.0,MG,1
Belo Horizonte/MG,Brazil,2020-03-17,3106200,4.0,MG,5
Pinhais/PR,Brazil,2020-03-17,4119152,1.0,PR,1
Prado/BA,Brazil,2020-03-17,2925501,1.0,BA,1
Rio Branco/AC,Brazil,2020-03-17,1200401,3.0,AC,3
Santo André/SP,Brazil,2020-03-17,3547809,1.0,SP,1
Nova Lima/MG,Brazil,2020-03-17,3144805,1.0,MG,1
Fortaleza/CE,Brazil,2020-03-17,2304400,2.0,CE,10
Barra Mansa/RJ,Brazil,2020-03-17,3300407,0.0,RJ,1
Uberlândia/MG,Brazil,2020-03-17,3170206,1.0,MG,1
Campo Largo/PR,Brazil,2020-03-17,4104204,1.0,PR,1
Ipatinga/MG,Brazil,2020-03-18,3131307,0.0,MG,1
Rio Verde/GO,Brazil,2020-03-18,5218805,0.0,GO,3
Farroupilha/RS,Brazil,2020-03-18,4307906,1.0,RS,1
Ferraz de Vasconcelos/SP,Brazil,2020-03-18,3515707,0.0,SP,1
Natal/RN,Brazil,2020-03-18,2408102,0.0,RN,1
Manaus/AM,Brazil,2020-03-18,1302603,0.0,AM,2
Joinville/SC,Brazil,2020-03-18,4209102,0.0,SC,1
Goiânia/GO,Brazil,2020-03-18,5208707,0.0,GO,5
Cianorte/PR,Brazil,2020-03-18,4105508,0.0,PR,2
Maceió/AL,Brazil,2020-03-18,2704302,0.0,AL,1
Caxias do Sul/RS,Brazil,2020-03-18,4305108,0.0,RS,2
Divinópolis/MG,Brazil,2020-03-18,3122306,0.0,MG,1
Santana de Parnaíba/SP,Brazil,2020-03-18,3547304,0.0,SP,1
Feira de Santana/BA,Brazil,2020-03-18,2910800,0.0,BA,5
Rancho Queimado/SC,Brazil,2020-03-18,4214300,0.0,SC,2
Torres/RS,Brazil,2020-03-18,4321501,1.0,RS,1
Barra Mansa/RJ,Brazil,2020-03-18,3300407,0.0,RJ,1
Curitiba/PR,Brazil,2020-03-18,4106902,0.0,PR,7
ESTRANGEIRO/PE,Brazil,2020-03-18,260,0.0,PE,3
Jaboatão dos Guararapes/PE,Brazil,2020-03-18,2607901,0.0,PE,1
Patrocínio/MG,Brazil,2020-03-18,3148103,0.0,MG,1
Londrina/PR,Brazil,2020-03-18,4113700,0.0,PR,1
Pinhais/PR,Brazil,2020-03-18,4119152,0.0,PR,1
Campo Largo/PR,Brazil,2020-03-18,4104204,0.0,PR,1
Uberlândia/MG,Brazil,2020-03-18,3170206,0.0,MG,1
Sete Lagoas/MG,Brazil,2020-03-18,3167202,0.0,MG,1
Nova Lima/MG,Brazil,2020-03-18,3144805,0.0,MG,1
Rio Branco/AC,Brazil,2020-03-18,1200401,0.0,AC,3
Prado/BA,Brazil,2020-03-18,2925501,0.0,BA,1
Juiz de Fora/MG,Brazil,2020-03-18,3136702,0.0,MG,2
Serafina Corrêa/RS,Brazil,2020-03-18,4320404,1.0,RS,1
Anápolis/GO,Brazil,2020-03-18,5201108,0.0,GO,2
Aquiraz/CE,Brazil,2020-03-18,2301000,0.0,CE,1
Mauá/SP,Brazil,2020-03-18,3529401,0.0,SP,1
Coronel Fabriciano/MG,Brazil,2020-03-18,3119401,0.0,MG,1
São Caetano do Sul/SP,Brazil,2020-03-18,3548807,0.0,SP,1
Carapicuíba/SP,Brazil,2020-03-18,3510609,0.0,SP,1
Linhares/ES,Brazil,2020-03-18,3203205,0.0,ES,1
Aracaju/SE,Brazil,2020-03-18,2800308,0.0,SE,5
Belo Jardim/PE,Brazil,2020-03-18,2601706,0.0,PE,1
Sobral/CE,Brazil,2020-03-18,2312908,1.0,CE,1
Niterói/RJ,Brazil,2020-03-18,3303302,0.0,RJ,6
Tubarão/SC,Brazil,2020-03-18,4218707,1.0,SC,1
Belo Horizonte/MG,Brazil,2020-03-18,3106200,5.0,MG,10
Fortaleza/CE,Brazil,2020-03-18,2304400,8.0,CE,18
São Bernardo do Campo/SP,Brazil,2020-03-18,3548708,1.0,SP,3
Braço do Norte/SC,Brazil,2020-03-18,4202800,1.0,SC,2
Vitória/ES,Brazil,2020-03-18,3205309,2.0,ES,3
Campo Grande/MS,Brazil,2020-03-18,5002704,1.0,MS,7
Salvador/BA,Brazil,2020-03-18,2927408,10.0,BA,17
Florianópolis/SC,Brazil,2020-03-18,4205407,2.0,SC,5
Porto Alegre/RS,Brazil,2020-03-18,4314902,5.0,RS,21
Campo Bom/RS,Brazil,2020-03-18,4303905,1.0,RS,2
Brasília/DF,Brazil,2020-03-18,5300108,10.0,DF,36
Rio de Janeiro/RJ,Brazil,2020-03-18,3304557,23.0,RJ,55
Vila Velha/ES,Brazil,2020-03-18,3205200,1.0,ES,7
São Paulo/SP,Brazil,2020-03-18,3550308,72.0,SP,228
ESTRANGEIRO/SC,Brazil,2020-03-18,420,2.0,SC,2
Porto Seguro/BA,Brazil,2020-03-18,2925303,1.0,BA,4
